nct_id,n,m,s,q05,q95
NCT00790205,14671,65.43881338706501,7.969794637511304,52.93419068159879,79.28503066813647
NCT00968708,5384,60.80492918429589,9.88187930853157,44.58712430589032,77.16228344611956
NCT01032629,4330,60.79482673090865,8.061709740356822,47.357947412948874,73.98316453799912
NCT01107886,16492,65.13388801818445,8.561608261389921,50.97255855995614,79.44639647121389
NCT01131676,7064,63.0638025543603,8.725051977419362,48.70883229424976,77.50646445313774
NCT01144338,14752,61.75113524692259,9.379485113106822,46.24519370601763,77.26729125740269
NCT01147250,6068,60.24249566758292,9.59010332360686,44.611234463637295,76.52886356512337
NCT01179048,9340,64.29071392250052,7.198061388010178,53.0148002619502,76.77439364808566
NCT01243424,6033,64.25924413179668,9.484701694593008,48.06769829936932,79.68823512778866
NCT01394952,9901,66.29122304521542,6.496048217393864,55.626597040933255,77.22176371626932
NCT01455896,4156,62.60112557327433,7.827657349993191,49.82875700135993,75.6206647612341
NCT01703208,4202,63.736982606320034,8.448598162010308,49.873738629320265,77.31798059196926
NCT01720446,3297,64.90084292234451,7.3747230809807975,53.18799302034883,77.33188278061326
NCT01730534,17160,63.90541923805998,6.787124588084293,52.736363781713315,75.13058538889535
NCT01897532,6979,65.93423518844061,9.095277696409221,51.17178160209067,80.80111987807831
NCT01986881,8246,64.13812262441355,8.120558664681019,50.54993814086378,77.6258558495795
NCT01989754,5813,62.46533370923249,8.60182759374879,48.60493017362386,76.63530165415051
NCT02065791,4401,56.37355146557601,9.243202433417478,45,75
NCT02465515,9461,64.03170825346866,8.710973368966977,49.670660250233844,78.28441515915856
NCT02692716,3183,65.96027799826766,7.091677957545902,54.47317467408403,78.18344404289213
NCT03315143,10584,68.34058991766126,8.388825460865583,54.68177666084141,82.07862582860741
NCT03496298,4076,64.28136124704237,8.113224075433237,50.93208487891391,77.57147972658865
NCT03521934,1222,68.93236208841847,8.975147420404461,53.49574786550385,82.3816805640246
UMIN000018395,165,73.64663045656626,8.434969126859164,58.49832554383549,86.87443887783662
